ville - village,provinces,communes
abaye,noumbiel,tansarga
abra,ioba,ouagadougou
abra,poni,zogore
absouya,bougouriba,zawara
adiarey-diarey,yagha,zambo
adjoan,soum,yonde
adongo,seno,ye
adoudie,oudalan,yako
affini,kourweogo,toussiana
agbana,oubritenga,toma
agou,ganzourgou,to
aladjou,zondoma,titao
alalel,loroum,thiou-koudougou
alamanini,yatenga,tambaga
alfire,passore,sourgou
alga,tuy,solle
alga-fulbe,kenedougou,samba
alhamdou,houet,rollo
aligaga,kompienga,reo
aligaga,komandjari,pompoi
allialkoum,tapoa,pilimpikou
allobiga,gourma,piela
ambkaongo,gnagna,partiaga
ambourma,zoundweogo,ourgou-maneg
amdalaye,nahouri,ouo
amene,bazega,ouindigui
amene,ziro,nandiala
amimbiri,sissili,moussodougou
amne-rimaibe,sanguie,midebdo
amsia,boulkiemde,pabre
andan,sanmatenga,komki-ipala
andekanda,namentenga,zonse
andem,bam,zoaga
andemtenga,koulpelogo,ziou
andemtenga-peulh,kouritenga,zecco
anekuy,boulgou,zamo
ankouna,kadiogo,yamba
ansolma,leraba,yaho
ansouri,comoe,yaba
antoa,nayala,wolonkoto
aorema,banwa,toeghin
aourema,bale,toece
arba-debere,sourou,tibga
arbete,mouhoun,tiankoura
arbilo,kossi,thiou
arbinda,,thion
arbole,,tensobentenga
arouem,,tenado
arouema,,tcheriba
arra,,tankougounad
arra-fulbe,,tangaye
arreel,,soudougui
assinga1,,soubakaniedo
assinga2,,sono
assio,,silly
aurel-baliguel,,sigle
ayoubakolon,,siby
aziga,,seguenega
ba,,satiri
ba-peulh,,sanga
baadnogo,,samogohiri
baaga,,sami
baaka,,safane
babakou,,rouko
babakuy,,ramongo
babdo,,rambo
babekolon,,pouni
babiere,,pobe-mengao
babirka,,poa
babirka,,perignan
babirka,,pella
babirka,,pama
babirka,,padema
bablanayou,,oury
babo,,oula
babonga,,ouessa
babora,,oueleni
babougounia,,ouarkoye
babouli,,ouargaye
babri,,ouahigouya
babrora,,oronkua
bachicorepoun,,nouna
badabie,,niou
badalgou,,niego
badara,,niabouri
badara,,nebielianayo
bade,,nanoro
badie,,namounou
badiembe,,nako
badiere,,matiacoali
badinga,,mani
badinogo,,malba
badinogo,,madouba
badinogo,,madjoari
badnogo,,loumana
badnogo,,loropeni
badnogo,,logobou
badnogo,,liptougou
badnogo,,leo
badnongo,,lena
bado,,leba
badogo,,lankoue
badone,,lanfiera
badongo,,lalgaye
badora,,la-todin
badougouya,,kyon
badourlebe,,koussouka
bafele,,kourouma
bagade,,koundougou
bagadogo,,koumbri
bagadogo,,kouka
bagadogo,,kougny
bagahokc,,koti
bagahokc,,kordie
bagala,,koper
bagali,,kona
baganapoun,,komtoega
bagane,,kompienga
bagare,,kombori
bagassi,,kirsi
bagatenga,,kindi
bagawa,,kayao
bagayalgo,,kassoum
bagayiri,,kantchari
bagbin-noungou,,kankalaba
baghin,,kalsaka
baglenga,,kain
bagma,,ipelce
bagmaskierga,,iolonioro
bagmoussa,,imasgo
bagnaba,,guiaro
bagniridouo,,gueguere
bagnontenga,,gourcy
bagoun,,gounghin
bagounsia,,gossina
bagraogo,,gomponsom
bagre,,gomboussougo
bagtenga,,gomboro
bagtogdo,,gogo
baguemnini,,godyr
baguera,,gayeri
baguiomo,,gassan
bagwokin,,garango
bagzan,,gaoua
baham,,gaongo
baheldouo,,gao
bahouan,,foutouri
bahoun,,fo
baka,,fara
bakanbougou,,fada n'gourma
bakaogo,,dourtenga
bakaribougou,,douroula
bakata,,douna
bakenao,,doumbala
bakon,,doulougou
bakou,,dolo
bakoundouba-mossi,,dokuy
bakouta,,djigouera
bakpara,,djigoue
bakuo,,djibo
balamanou,,dissin
balamba,,diguel
balambiro,,diebougou
balandagou,,didyr
balanso,,diapangou
balantira,,diapaga
balarkar,,diabo
balave,,di
balbo-peulh,,dassa
balbou,,dande
balboudi,,dalo
balbzinko,,comin-yanga
baleledo,,coalla
balemba,,cassou
balembar,,boussoukoula
baleme,,boussou
balga,,boussera
balgabouga,,bouroum-bouroum
balgo,,bourasso
balgo,,boura
balgo-zaoce,,bougnounou
balgogo,,botou
balignar,,boromo
balinga,,boni
balkuy,,bondokuy
balla,,bomborokuy
ballao,,bokin
ballerebie,,bogande
ballerebie,,bingo
balliata,,binde
balogho,,bieha
balogo,,bereba
balole,,bere
balonghin,,bekuy
bama,,batie
bama,,bassi
bama,,bartiebougou
bama,,barga
bamako,,barani
bamako,,banzon
bamasgou,,banh
bambambou,,bane
bambara,,bama
bambary,,balaye
bambe,,bakata
bambilare,,bagre
bambofa,,bagassi
bambourou,,bagare
